Site,Left_prop,Source
Chupa Inlet. Kandalaksha Bay. White Sea. Russia,28.3,Our data
Onega Bay. White Sea. Russia,26,Our data
Mezen Bay. White Sea. Russia,5.2,Our data
Delta of the Northern Dvina river. Dvina Bay. White Sea. Russia,3.3,Our data
Velikaya Salma Strait. Kandalaksha Bay. White Sea. Russia,37.1,Shatunovkii. 1964; Dietrich. 2009
Eckernforde Bay; Laboe (Kiel). Baltic Sea. Germany,42.7,Apstein. 1905
Neustadt Bay. Baltic Sea. Germany,34.4,Duncker. 1900
Zuiderzee. North Sea. Netherlands,44,Redeke. 1915
Den Helder. North Sea. Netherlands,48,Redeke. 1915
Rostock. Baltic Sea. Germany,26.7,Momigliano et al.. 2018
Loughor estuary. South Wales. UK,4.7,Galleguillos. Ward. 1982
Sorve peninsula. Saaremaa. Baltic Sea. Estonia,39.5,Mikelsaar. 1958
Mandjala. Saaremaa. Baltic Sea. Estonia,22.5,Mikelsaar. 1958
Murman coast. Barents Sea. Russia,44.5,Sych. 1930
North Bull Island. Dublin Bay. Irish Sea,5.6,Russo et al.. 2012
Murman coast. Barents Sea. Russia,39.6,Suvorov. 1926
English Channel. Plymouth. England,5.4,Duncker. 1900
Elbe river mouth. North Sea. Germany,23.6,Duncker. 1900
Mevagissey harbour. England,5.7,Duncker. 1900
Langeoog. Wadden Sea. North Sea. Germany,35,Voronina. 1999
Murman coast. Barents Sea. Russia,40,Voronina. 1999
English Channel. Plymouth. England,7.5,Galleguillos. Ward. 1982
Thames estuary. London. England,18,Galleguillos. Ward. 1982
Mezen Bay. White Sea. Russia,3.1,Semushin et al.. 2015
Danish Belt Sea,25.4,Galleguillos. Ward. 1982
Stromstad. Skagerrak. Sweden,27.5,Fornbacke et al.. 2002
Lysekil. Skagerrak. Sweden,27,Fornbacke et al.. 2002
Karlskrona. Baltic Sea. Sweden,22.4,Fornbacke et al.. 2002
Oland. Baltic Sea. Sweden,21.1,Fornbacke et al.. 2002
Vastervik. Baltic Sea. Sweden,21.2,Fornbacke et al.. 2002
Nynashamn. Baltic Sea.  Sweden,20.1,Fornbacke et al.. 2002
Kuz Inlet. Onega Bay. White Sea,31.3,Nikolaev. 1949
Kolezhma river. Onega Bay. White Sea,28.5,Mikelsaar. 1958
Delta of the Northern Dvina river. White Sea. Russia,4,Dietrich. 2009
Delta of the Northern Dvina river. White Sea. Russia,4.7,Semushin et al.. 2015
Trondheimsfjord. Norway,32.3,Nordgaard. 1915
Millport. Cumbrae. Scottish coast,6.7,Elmhirst. 1911
Pudisoo. Baltic Sea. Estonia,33.1,Mikelsaar. 1958
Hiiumaa. Baltic Sea. Estonia,35,Mikelsaar. 1958